Account Length (Weeks),Messages,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Int'l Plan,Message Plan,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,State,Area Code,Phone,Churn
189,38,256.7,150.5,123,11.4,3,0,1,98,43.64,120,12.79,87,5.54,3,3.08,NE,415,417-5908,0
123,0,159.1,241.6,202.4,6.5,1,0,0,94,27.05,119,20.54,120,9.11,1,1.76,ND,408,383-9961,0
110,0,100.1,233.3,204.4,11.1,3,0,0,90,17.02,93,19.83,57,9.2,8,3,AK,408,396-9571,0
63,32,30.9,187,230.8,8.6,1,0,1,113,5.25,113,15.9,101,10.39,7,2.32,CO,415,408-8700,0
176,0,223.2,214.4,154.4,10.1,3,0,0,76,37.94,131,18.22,80,6.95,2,2.73,ME,415,408-9682,0
108,0,187.4,199.9,216.1,12.6,1,0,0,101,31.86,126,16.99,107,9.72,8,3.4,SC,510,393-5065,0
13,21,315.6,208.9,260.1,12.1,3,0,1,105,53.65,71,17.76,123,11.7,3,3.27,MN,510,338-6117,0
71,0,277.5,131.8,126.9,8.2,1,0,0,104,47.18,121,11.2,101,5.71,2,2.21,CO,415,357-1493,0
88,0,189.8,197.3,234.5,14.9,2,0,0,111,32.27,101,16.77,111,10.55,3,4.02,KS,415,398-8168,0
137,0,147.2,192.8,172.7,10.2,1,0,0,119,25.02,91,16.39,105,7.77,4,2.75,MS,510,346-4283,0
82,0,185.8,276.5,192.1,5.7,4,0,0,36,31.59,134,23.5,104,8.64,7,1.54,NE,408,343-2956,0
92,29,155.4,188.5,254.9,8,3,0,1,110,26.42,104,16.02,118,11.47,4,2.16,NJ,510,420-7211,0
165,0,154.2,268.6,188.8,10.9,6,0,0,91,26.21,108,22.83,99,8.5,4,2.94,WI,510,402-6407,0
96,0,97.6,105.5,220.2,11.6,1,0,0,98,16.59,118,8.97,105,9.91,9,3.13,MT,415,332-7795,0
156,0,178.8,178.4,169.2,7.5,1,0,0,94,30.4,97,15.16,77,7.61,3,2.03,AR,415,388-0229,0
63,0,149.3,273.6,206.6,9.1,0,0,0,104,25.38,75,23.26,72,9.3,4,2.46,WA,408,404-5200,0
37,0,206,186,307.1,8.4,0,0,0,89,35.02,88,15.81,86,13.82,11,2.27,NH,415,341-5913,0
98,0,216.8,190.8,187.5,11,0,0,0,86,36.86,114,16.22,79,8.44,9,2.97,IA,415,338-9618,0
121,0,103.3,129.1,167.1,10.7,0,0,0,110,17.56,82,10.97,113,7.52,3,2.89,WV,415,332-8284,0
94,0,139.4,159.1,128.2,7.7,0,0,0,95,23.7,92,13.52,129,5.77,3,2.08,RI,415,348-7608,0
99,0,191.2,163.9,243.6,14.1,1,0,0,110,32.5,102,13.93,114,10.96,3,3.81,KS,415,407-7513,0
163,23,160,189.4,229.9,10.4,1,0,1,104,27.2,64,16.1,118,10.35,7,2.81,MT,510,398-4558,0
161,0,221.7,193,194.1,6.5,3,0,0,95,37.69,82,16.41,113,8.73,4,1.76,MO,510,369-5574,0
99,0,62.9,231,168.9,8.5,1,0,0,81,10.69,64,19.64,121,7.6,5,2.3,HI,415,346-3107,0
108,0,215.6,195.3,194.4,3.6,1,0,0,78,36.65,119,16.6,65,8.75,5,0.97,CO,415,400-0486,0
84,42,165.3,223.5,260.8,7.6,3,0,1,97,28.1,118,19,72,11.74,7,2.05,CT,510,351-9308,0
83,32,94.7,154.4,200.4,10.6,2,1,1,111,16.1,98,13.12,109,9.02,6,2.86,ID,415,345-2521,0
139,0,203.2,152.5,197.8,9.7,2,0,0,81,34.54,99,12.96,76,8.9,3,2.62,DC,510,368-4030,0
69,0,195.3,216.7,259.9,12.5,3,0,0,70,33.2,108,18.42,119,11.7,4,3.38,TN,510,358-2465,0
129,0,143.7,297.8,212.6,11.4,4,0,0,114,24.43,98,25.31,86,9.57,8,3.08,WY,510,379-6602,0
106,0,114.4,78.3,232.7,0,2,0,0,104,19.45,101,6.66,78,10.47,0,0,MO,415,340-8689,0
158,0,222.8,203,210.6,6.9,2,0,0,101,37.88,128,17.26,106,9.48,2,1.86,VA,415,396-3521,0
168,22,175.9,211.7,174.5,7.3,2,0,1,70,29.9,105,17.99,81,7.85,5,1.97,SD,415,369-6127,0
115,0,249.9,242.5,151.7,15.3,1,1,0,95,42.48,104,20.61,121,6.83,6,4.13,WV,510,420-5846,1
57,30,234.5,195.2,268.8,11.4,2,1,1,130,39.87,116,16.59,94,12.1,4,3.08,GA,408,410-2237,0
67,0,210.7,219.2,179.7,7.2,1,0,0,116,35.82,86,18.63,83,8.09,6,1.94,AZ,415,404-9955,0
127,0,182.3,169.9,184,9.3,1,0,0,124,30.99,110,14.44,116,8.28,3,2.51,AK,408,383-3689,0
78,0,190.3,194.5,256.5,11.7,2,0,0,88,32.35,89,16.53,109,11.54,5,3.16,AK,510,418-4984,0
100,38,177.1,163.7,242.7,7.4,0,0,1,88,30.11,108,13.91,72,10.92,2,2,CT,415,360-0711,0
103,36,87.2,169.3,166.7,10.9,6,0,1,92,14.82,110,14.39,80,7.5,5,2.94,UT,510,327-5523,1
113,0,215.6,193.4,105.4,13.5,1,0,0,96,36.65,127,16.44,115,4.74,3,3.65,KY,415,385-8928,0
78,0,137.4,237.6,206.7,14,3,0,0,109,23.36,49,20.2,136,9.3,11,3.78,MI,510,414-0602,0
129,36,192.8,177,216.5,16.4,1,0,1,103,32.78,83,15.05,118,9.74,5,4.43,OR,510,331-5184,0
57,0,149.3,200.2,231.7,11.9,2,0,0,100,25.38,110,17.02,101,10.43,3,3.21,TN,510,337-9784,0
82,0,143.7,170.7,287.7,7.8,1,0,0,116,24.43,99,14.51,95,12.95,5,2.11,WV,408,388-4943,0
64,0,224.8,190,221.4,9.2,1,0,0,111,38.22,101,16.15,110,9.96,2,2.48,NJ,415,405-4524,0
86,39,261.2,214.2,154.9,12.7,2,0,1,122,44.4,101,18.21,101,6.97,5,3.43,MS,510,382-9261,0
151,26,196.5,175.8,221.8,13.4,0,0,1,98,33.41,111,14.94,124,9.98,5,3.62,ME,415,352-0420,0
94,0,271.2,202.6,221.6,11.5,3,0,0,105,46.1,105,17.22,51,9.97,3,3.11,WY,510,353-0132,1
90,0,207.2,292.5,226.3,8,2,0,0,121,35.22,104,24.86,103,10.18,1,2.16,WY,415,416-3002,0
48,0,300.4,133.2,197.4,7.2,2,0,0,94,51.07,103,11.32,94,8.88,5,1.94,IN,510,342-9554,0
85,37,229.6,132.3,211.9,9.5,2,0,1,123,39.03,90,11.25,76,9.54,8,2.57,NM,408,338-2550,0
93,20,187.5,169.8,175.3,12.1,1,1,1,110,31.88,94,14.43,127,7.89,4,3.27,NJ,415,328-6456,0
169,0,57.1,199.7,274.7,6.5,3,1,0,98,9.71,78,16.97,103,12.36,6,1.76,DC,415,406-2104,0
68,0,162.1,155,189.7,11,5,0,0,86,27.56,86,13.18,87,8.54,9,2.97,UT,415,398-9451,1
91,0,145,175.8,223.7,16.7,2,1,0,89,24.65,102,14.94,151,10.07,3,4.51,KY,415,330-7517,1
68,0,159.5,240.8,210.3,11.4,1,0,0,123,27.12,93,20.47,76,9.46,3,3.08,KS,510,414-7246,0
101,0,190.7,208.6,203.8,8.8,1,0,0,72,32.42,103,17.73,111,9.17,8,2.38,MI,510,350-3852,0
67,20,230.6,189.1,162.2,9.4,1,0,1,40,39.2,58,16.07,115,7.3,2,2.54,UT,510,414-8490,0
66,0,34,278.6,129.6,11.5,0,0,0,133,5.78,61,23.68,120,5.83,3,3.11,NE,415,337-6228,0
116,17,193.4,240.6,248.1,11.4,5,0,1,112,32.88,131,20.45,98,11.16,3,3.08,FL,415,394-1858,0
158,0,202,163.5,195.4,10.4,1,0,0,126,34.34,86,13.9,84,8.79,6,2.81,LA,408,359-5365,0
78,0,191.7,241.4,203.5,9.1,1,0,0,122,32.59,88,20.52,86,9.16,5,2.46,MT,415,377-5032,0
119,26,161.3,250.3,142.4,6.6,1,0,1,97,27.42,110,21.28,92,6.41,8,1.78,WA,415,380-5846,0
120,0,150.6,119,232.9,6.4,1,0,0,85,25.6,128,10.12,123,10.48,2,1.73,MI,415,390-1851,0
155,0,184.6,196,226.5,7.8,1,0,0,102,31.38,117,16.66,122,10.19,1,2.11,KY,510,413-6427,0
106,0,220.7,270.2,121.6,8.7,1,0,0,120,37.52,95,22.97,113,5.47,5,2.35,LA,408,374-2866,0
87,0,167.3,198.5,133.1,11,1,1,0,119,28.44,119,16.87,88,5.99,6,2.97,NM,510,417-6739,0
146,32,154,185.5,148.2,8.2,3,0,1,80,26.18,91,15.77,107,6.67,4,2.21,AL,415,358-4148,0
101,29,121.1,186.4,241.7,10.1,0,0,1,116,20.59,100,15.84,75,10.88,6,2.73,MO,415,394-9804,0
22,23,182.1,164.6,128.8,12.7,3,0,1,94,30.96,59,13.99,102,5.8,4,3.43,CO,510,327-7386,0
90,0,109.6,137.6,159.7,11,2,0,0,88,18.63,108,11.7,121,7.19,5,2.97,TX,415,399-9041,0
41,0,209.9,121.9,253.7,9.6,1,0,0,105,35.68,105,10.36,104,11.42,4,2.59,NY,415,393-4956,0
69,0,167.5,242.1,101.2,11.4,2,0,0,76,28.48,92,20.58,103,4.55,4,3.08,OR,415,401-2205,0
33,0,213.9,239.8,148.7,9.8,2,0,0,88,36.36,119,20.38,71,6.69,14,2.65,WY,415,331-3189,0
112,0,115.8,243.3,184.6,13.1,1,0,0,108,19.69,111,20.68,78,8.31,5,3.54,UT,415,358-3440,0
108,30,276.6,220.1,177.9,9.8,2,0,1,99,47.02,113,18.71,95,8.01,6,2.65,LA,510,380-2217,0
136,21,179.4,181.1,320.7,9.5,2,0,1,88,30.5,97,15.39,120,14.43,4,2.57,NV,415,416-8598,0
128,0,187.3,270.8,206.4,10.1,1,0,0,84,31.84,95,23.02,68,9.29,5,2.73,NC,510,417-8430,0
27,0,201.2,227.2,145.8,8.4,2,0,0,128,34.2,100,19.31,91,6.56,3,2.27,NC,408,345-5485,0
161,0,189.6,267.4,184.5,1.3,1,1,0,78,32.23,117,22.73,137,8.3,6,0.35,WY,415,406-1938,0
33,35,186.8,261,317.8,15,0,0,1,124,31.76,69,22.19,103,14.3,5,4.05,TN,415,360-6368,0
120,31,153.5,219.1,237.4,11.4,0,0,1,83,26.1,96,18.62,76,10.68,4,3.08,FL,415,348-9593,0
113,0,187.6,208.2,158.9,8.7,2,0,0,97,31.89,118,17.7,101,7.15,6,2.35,CA,415,370-6242,0
122,0,230.9,243.2,182.4,11,0,1,0,132,39.25,99,20.67,57,8.21,2,2.97,PA,415,383-7553,1
148,26,244.9,118,236,15.2,2,0,1,150,41.63,138,10.03,91,10.62,4,4.1,WV,415,391-9830,0
74,0,230.9,223,157.8,9.7,3,0,0,93,39.25,78,18.96,101,7.1,2,2.62,NJ,415,389-6246,0
106,0,187.1,250.2,144.9,11,1,0,0,104,31.81,117,21.27,81,6.52,3,2.97,MT,415,410-2877,0
179,0,170.7,191.1,214.6,13.3,1,0,0,54,29.02,108,16.24,107,9.66,4,3.59,MN,415,418-9673,0
149,28,126.9,166.9,145.2,8.8,5,1,1,97,21.57,102,14.19,77,6.53,3,2.38,WI,415,339-8284,1
77,0,189.5,207,214.1,9.2,0,0,0,112,32.22,95,17.6,91,9.63,7,2.48,ID,510,356-2377,0
127,0,176.9,167.9,182.2,7.7,1,1,0,110,30.07,100,14.27,138,8.2,2,2.08,MA,408,371-5002,1
80,0,161.1,198.8,228.4,10.6,1,0,0,99,27.39,81,16.9,116,10.28,4,2.86,OR,415,391-1943,0
106,0,169.4,197.2,202.2,10.7,1,0,0,107,28.8,71,16.76,79,9.1,4,2.89,MT,510,392-3782,0
61,20,254.4,161.7,251.4,10.5,0,0,1,133,43.25,96,13.74,91,11.31,4,2.84,AL,415,399-7490,0
135,24,127.7,215,234.3,5.8,2,1,1,54,21.71,105,18.28,84,10.54,4,1.57,ND,510,378-5904,0
115,26,170.5,217.2,225.7,13.6,6,0,1,107,28.99,77,18.46,71,10.16,5,3.67,LA,415,386-1915,0
167,0,219.1,242.9,168.9,10.1,2,1,0,100,37.25,90,20.65,101,7.6,4,2.73,ND,408,359-5612,0
107,0,273.5,183.8,153.8,11,2,1,0,104,46.5,68,15.62,67,6.92,9,2.97,MS,510,340-7064,0
112,0,161.9,200.9,134,10.7,1,1,0,138,27.52,114,17.08,134,6.03,4,2.89,WV,415,330-9910,0
35,27,241.7,142,288.9,9.4,1,0,1,87,41.09,101,12.07,68,13,4,2.54,WI,510,403-1871,0
103,0,62.8,170.4,280.2,9.4,3,1,0,124,10.68,66,14.48,78,12.61,4,2.54,KS,408,342-7918,0
107,22,281.1,143.7,239.4,11.2,1,0,1,83,47.79,130,12.21,128,10.77,9,3.02,MO,415,344-6029,0
69,0,228.2,263.7,142.6,10.7,3,0,0,70,38.79,80,22.41,60,6.42,5,2.89,PA,415,390-2032,0
85,0,209.8,194.5,200.4,11.3,0,0,0,82,35.67,94,16.53,85,9.02,3,3.05,SD,408,358-2150,0
24,0,265.6,208.8,182.5,11.1,2,0,0,86,45.15,102,17.75,105,8.21,6,3,NJ,408,393-9821,1
90,0,214.9,117.8,133.7,11.8,2,0,0,97,36.53,117,10.01,78,6.02,2,3.19,AL,415,335-1622,0
137,0,110.5,223.2,169.5,10.5,3,0,0,79,18.79,111,18.97,64,7.63,3,2.84,ME,510,368-8840,0
92,45,281.1,198,94.3,7.5,0,1,1,88,47.79,103,16.83,76,4.24,3,2.03,AZ,415,416-6670,0
38,0,137.8,286.3,167,14.1,2,0,0,86,23.43,76,24.34,77,7.52,3,3.81,VT,415,416-7936,0
69,33,271.5,253.4,165.4,8.2,1,1,1,98,46.16,102,21.54,85,7.44,2,2.21,NV,510,397-0428,1
45,0,112.8,218.8,240.2,9,2,0,0,108,19.18,120,18.6,106,10.81,3,2.43,WI,408,335-8094,0
73,0,187.3,239.7,167.5,15.1,1,0,0,118,31.84,90,20.37,108,7.54,2,4.08,HI,408,388-4259,0
92,0,197,269.3,158.9,10.8,1,0,0,84,33.49,105,22.89,105,7.15,4,2.92,DE,415,386-5819,0
113,32,180.4,129.4,166.9,8.4,1,0,1,89,30.67,124,11,124,7.51,2,2.27,AZ,415,346-1073,0
68,0,148.5,219.4,198.5,14.5,1,1,0,126,25.25,125,18.65,121,8.93,7,3.92,VA,408,364-8650,1
135,22,197.1,259.4,134.7,14.6,2,0,1,113,33.51,95,22.05,135,6.06,5,3.94,GA,415,366-8588,0
100,26,153.7,137.8,213.5,15.9,1,0,1,115,26.13,146,11.71,104,9.61,5,4.29,AZ,415,331-6005,0
96,27,261.3,220.9,179.4,11.3,1,0,1,96,44.42,101,18.78,97,8.07,2,3.05,MN,415,330-1616,0
108,0,246.2,202.4,180.1,9.4,1,0,0,102,41.85,134,17.2,95,8.1,5,2.54,ME,510,402-2383,0
84,0,191,318.8,247.3,6.5,0,0,0,88,32.47,119,27.1,79,11.13,4,1.76,FL,510,341-9160,0
134,0,208.3,253.6,291,12.6,1,0,0,86,35.41,89,21.56,86,13.1,3,3.4,WA,408,371-3259,0
72,0,253,219.3,210.8,9.8,0,0,0,73,43.01,78,18.64,89,9.49,4,2.65,MT,415,398-4996,0
83,0,202.3,201.5,101.7,6.8,0,0,0,87,34.39,111,17.13,82,4.58,4,1.84,AL,408,333-8734,0
137,0,174.4,156.3,136.5,10.2,0,0,0,120,29.65,98,13.29,121,6.14,5,2.75,WV,408,330-4345,0
56,30,127.1,172.1,194.6,12.1,1,0,1,89,21.61,116,14.63,111,8.76,3,3.27,GA,415,417-2513,0
61,16,143.5,242.6,147.7,11.3,0,1,1,76,24.4,58,20.62,95,6.65,3,3.05,OH,510,327-9006,0
171,17,186.9,240,200.9,5.8,1,0,1,94,31.77,138,20.4,64,9.04,3,1.57,DE,510,363-3351,0
123,0,194,242,146.3,12.1,1,0,0,118,32.98,114,20.57,108,6.58,4,3.27,NE,510,419-1485,0
58,0,234.8,106.8,178.5,9.9,0,0,0,89,39.92,131,9.08,122,8.03,6,2.67,FL,510,363-6011,0
156,0,123.7,103,189.4,13.1,1,0,0,96,21.03,80,8.76,82,8.52,4,3.54,AK,510,341-8871,0
166,0,173.9,276.4,190.8,15.3,0,0,0,103,29.56,83,23.49,113,8.59,5,4.13,WI,510,366-6516,0
75,41,130.9,203.4,171.7,12.4,1,0,1,115,22.25,110,17.29,68,7.73,4,3.35,WA,510,367-6310,0
75,0,314.6,169.8,285.1,5.7,2,0,0,102,53.48,86,14.43,100,12.83,3,1.54,KY,415,341-0254,1
83,0,227.9,207.5,211.7,12.1,1,0,0,78,38.74,115,17.64,100,9.53,5,3.27,OH,510,342-8390,0
243,0,95.5,163.7,264.2,6.6,2,0,0,92,16.24,63,13.91,118,11.89,6,1.78,UT,510,355-6685,0
153,0,185.3,208,206.1,15.1,1,0,0,127,31.5,73,17.68,124,9.27,3,4.08,NM,408,343-5822,0
150,0,146.3,202.7,234.7,13.1,1,0,0,133,24.87,95,17.23,103,10.56,3,3.54,MN,415,335-4661,0
92,16,184,76.4,185.1,12.7,2,0,1,99,31.28,134,6.49,96,8.33,3,3.43,WV,510,335-3446,0
80,0,105.8,43.9,189.6,13.1,0,0,0,110,17.99,88,3.73,87,8.53,5,3.54,MN,415,332-2310,0
134,0,178,153.8,236.6,11.7,1,0,0,110,30.26,64,13.07,105,10.65,4,3.16,AL,415,352-7827,0
77,24,149.4,123.9,174.3,10.1,1,0,1,74,25.4,72,10.53,84,7.84,6,2.73,PA,510,346-3462,0
147,0,209.4,132.5,149.4,11.3,2,0,0,104,35.6,78,11.26,123,6.72,3,3.05,DE,510,400-4502,0
74,0,172.1,211.7,182.2,11.6,1,0,0,105,29.26,99,17.99,105,8.2,6,3.13,MO,415,421-9055,0
138,0,169.3,217.9,184.2,9.4,1,1,0,82,28.78,147,18.52,77,8.29,9,2.54,IL,510,331-7972,0
143,0,119.1,287.7,223,12.2,0,0,0,117,20.25,136,24.45,100,10.04,4,3.29,FL,415,343-2188,0
64,0,194.2,173.4,268.7,5.5,2,0,0,147,33.01,87,14.74,114,12.09,2,1.49,HI,415,414-5891,0
120,0,198.8,230.1,119.8,9.9,2,0,0,56,33.8,73,19.56,81,5.39,3,2.67,ME,510,350-7112,0
121,0,167.7,93.7,241.3,13.4,3,1,0,94,28.51,121,7.96,115,10.86,1,3.62,CO,408,409-6614,1
88,0,202.2,216.8,239.4,11.8,2,0,0,86,34.37,93,18.43,99,10.77,2,3.19,NH,415,376-5899,0
87,0,322.5,204.6,186.2,9.4,2,0,0,106,54.83,93,17.39,128,8.38,4,2.54,SC,408,335-8415,1
100,0,216.2,215.6,138.4,10.2,0,0,0,107,36.75,84,18.33,127,6.23,3,2.75,IN,510,397-1151,0
104,0,76.4,115.6,226.3,9.4,3,0,0,116,12.99,74,9.83,94,10.18,3,2.54,FL,415,381-1638,0
27,0,72.7,208.6,65.8,9.9,1,0,0,75,12.36,117,17.73,71,2.96,3,2.67,GA,510,403-7329,0
81,31,210.4,225.5,168.7,9.7,0,0,1,100,35.77,97,19.17,120,7.59,4,2.62,IL,415,375-4580,0
64,33,127.2,162.9,247.4,8.1,0,1,1,93,21.62,104,13.85,109,11.13,13,2.19,NC,510,341-1900,0
107,28,201.8,304.9,225.6,11.9,1,0,1,79,34.31,128,25.92,133,10.15,8,3.21,VT,510,342-1207,0
88,17,219.5,222.1,188.3,16.1,1,0,1,78,37.32,94,18.88,92,8.47,5,4.35,DC,415,354-2907,0
111,0,99.3,270.5,225.3,9,3,0,0,112,16.88,136,22.99,94,10.14,6,2.43,VT,408,351-5697,0
77,0,239.2,150,160.8,10.3,5,0,0,114,40.66,115,12.75,81,7.24,2,2.78,NV,415,401-5688,0
67,0,120.9,235,95.1,11.4,2,1,0,58,20.55,88,19.98,130,4.28,11,3.08,OR,415,366-2880,0
102,0,224.7,129.4,167.6,15.8,1,0,0,81,38.2,112,11,109,7.54,6,4.27,AL,408,364-0283,0
146,19,176.6,162.7,215.5,14.6,1,0,1,88,30.02,66,13.83,98,9.7,6,3.94,ND,408,393-5136,0
144,51,283.9,192,196.3,10,1,0,1,98,48.26,109,16.32,85,8.83,4,2.7,FL,415,376-1200,0
96,0,180.6,190.9,295.6,10.3,1,0,0,92,30.7,114,16.23,125,13.3,4,2.78,NE,415,410-1842,1
70,31,125.9,196.4,252.7,10.3,1,0,1,101,21.4,102,16.69,75,11.37,4,2.78,ND,415,343-1645,0
149,0,237.6,192.4,207.4,9.1,0,0,0,79,40.39,107,16.35,111,9.33,9,2.46,ME,408,408-1495,0
129,0,198.4,264.7,111.4,9.2,2,0,0,91,33.73,106,22.5,101,5.01,2,2.48,IL,415,395-0833,0
166,0,274.3,52.9,246.1,10.9,0,0,0,110,46.63,109,4.5,119,11.07,5,2.94,WA,408,354-4258,0
136,0,199.6,211.4,72.4,11,3,1,0,89,33.93,96,17.97,84,3.26,4,2.97,MA,408,367-5506,1
149,0,217.7,273.5,226.9,9.6,3,0,0,91,37.01,74,23.25,99,10.21,3,2.59,KS,510,340-1506,0
70,0,134.7,235.9,260.2,7.6,3,0,0,96,22.9,90,20.05,113,11.71,6,2.05,RI,415,369-6939,0
120,24,212.7,257.5,227.8,9.7,2,0,1,73,36.16,103,21.89,119,10.25,13,2.62,MO,415,334-5268,0
66,0,256.3,180.2,187.3,6.2,2,0,0,135,43.57,106,15.32,135,8.43,7,1.67,IA,510,402-6790,0
104,0,183.6,120.7,215.1,12.7,1,0,0,133,31.21,98,10.26,112,9.68,2,3.43,WY,408,366-6358,0
160,0,176.2,196,263.9,9.2,1,0,0,90,29.95,115,16.66,95,11.88,4,2.48,NV,415,333-7976,0
129,37,205,165.4,185,11.7,1,0,1,94,34.85,103,14.06,81,8.32,8,3.16,WI,415,333-2999,0
93,0,267.9,223,262.7,11.3,3,0,0,114,45.54,74,18.96,90,11.82,3,3.05,AL,408,374-2987,1
169,0,179.2,175.2,228.6,9.9,2,0,0,111,30.46,130,14.89,92,10.29,6,2.67,HI,415,334-1117,0
58,0,149.4,196.5,209.5,14.9,1,0,0,145,25.4,105,16.7,108,9.43,3,4.02,MO,415,353-7102,0
75,38,163.6,146.7,345.8,13.1,3,0,1,132,27.81,113,12.47,115,15.56,3,3.54,CA,510,350-2109,0
45,0,207.6,152.7,217.8,12.4,1,0,0,71,35.29,94,12.98,125,9.8,13,3.35,MO,408,385-5467,0
155,0,165.4,183.7,80.2,8.9,3,0,0,108,28.12,103,15.61,108,3.61,4,2.4,CT,510,380-3893,0
52,0,209.8,171.3,154.6,9.9,4,0,0,114,35.67,82,14.56,119,6.96,9,2.67,MD,415,352-5252,0
119,27,220.1,268.2,146.5,11.1,0,0,1,128,37.42,133,22.8,80,6.59,3,3,OH,415,385-2714,0
86,0,141.3,154.3,210.6,8.2,1,0,0,72,24.02,95,13.12,91,9.48,5,2.21,NV,510,353-0794,0
42,0,196.5,241.3,143.2,4,0,0,0,89,33.41,123,20.51,105,6.44,7,1.08,MD,408,337-8485,0
127,0,180.9,209.5,249.9,7.4,2,1,0,114,30.75,118,17.81,105,11.25,4,2,NE,510,348-7029,0
123,0,105,251.6,258,14.9,0,0,0,150,17.85,90,21.39,93,11.61,5,4.02,OH,408,420-2060,0
98,0,271.4,190.4,284.7,11.1,4,0,0,119,46.14,102,16.18,118,12.81,6,3,MA,510,366-5454,1
149,43,206.7,174.6,241.5,10.9,1,0,1,79,35.14,122,14.84,80,10.87,3,2.94,OK,510,359-2037,0
160,0,166.8,236,307.6,9.3,1,0,0,109,28.36,117,20.06,77,13.84,1,2.51,MA,408,387-8556,0
103,0,204.9,135.2,208.2,10.4,5,0,0,107,34.83,102,11.49,106,9.37,3,2.81,WA,415,354-8635,0
132,15,154.6,245.6,148.6,9.1,1,0,1,128,26.28,106,20.88,90,6.69,4,2.46,HI,415,405-8927,0
137,0,127,323.2,143.9,7.5,1,0,0,107,21.59,75,27.47,127,6.48,2,2.03,CO,415,379-8728,0
129,0,267.4,204.2,111.7,5.9,1,1,0,78,45.46,85,17.36,146,5.03,4,1.59,FL,415,355-1044,0
62,0,281,160.6,77.9,0,1,0,0,66,47.77,108,13.65,74,3.51,0,0,WI,415,383-2627,0
122,33,270.8,220.4,169.9,11.8,4,0,1,96,46.04,110,18.73,104,7.65,8,3.19,ID,510,382-7708,0
32,0,171.2,185.6,203.3,10.2,1,0,0,82,29.1,102,15.78,64,9.15,7,2.75,WY,408,422-9918,0
86,0,124.1,202.6,289.6,6.7,3,0,0,82,21.1,120,17.22,119,13.03,8,1.81,GA,510,410-7687,0
130,0,162.8,290.3,114.9,7.2,1,0,0,113,27.68,111,24.68,140,5.17,3,1.94,FL,415,343-4657,0
42,0,146.3,255.9,45,8,1,0,0,84,24.87,113,21.75,117,2.03,12,2.16,WY,408,357-5778,0
73,0,254.8,143.4,153.9,15,2,0,0,85,43.32,80,12.19,102,6.93,7,4.05,DE,415,355-8429,0
66,26,254.9,243.2,190.8,5.4,2,0,1,108,43.33,135,20.67,95,8.59,3,1.46,ME,408,378-7123,0
103,31,107.7,188.9,196.2,8.9,0,0,1,124,18.31,104,16.06,98,8.83,3,2.4,DC,510,386-5871,0
128,0,158.8,264.8,270,7.6,1,0,0,75,27,91,22.51,77,12.15,7,2.05,IA,408,335-2599,0
104,0,182.9,239.6,229.8,5.5,2,0,0,113,31.09,85,20.37,104,10.34,4,1.49,CO,415,377-0906,0
103,0,198.5,42.5,179.2,12.4,0,0,0,112,33.75,90,3.61,124,8.06,5,3.35,MN,415,386-5631,0
124,0,178.4,233.6,179.4,12,0,0,0,72,30.33,134,19.86,91,8.07,2,3.24,VT,415,416-8321,0
87,0,110.9,158.5,207.5,6.2,1,0,0,91,18.85,115,13.47,131,9.34,5,1.67,AZ,510,327-4958,0
109,27,166.9,221.2,197.3,12.3,1,0,1,85,28.37,92,18.8,97,8.88,4,3.32,LA,415,395-1491,1
167,0,244.8,60.8,176.7,10.7,2,1,0,91,41.62,105,5.17,110,7.95,3,2.89,MO,415,397-1062,0
97,0,120.8,169.8,194.1,11.9,4,0,0,96,20.54,101,14.43,63,8.73,3,3.21,ME,510,346-6803,1
106,0,165.3,210,187.2,8.5,2,0,0,118,28.1,101,17.85,93,8.42,3,2.3,MD,415,343-5296,0
125,0,126.7,155.5,206.2,14.4,2,0,0,113,21.54,131,13.22,112,9.28,7,3.89,VT,415,372-9607,0
108,35,215.9,200.6,195.4,15.5,0,0,1,106,36.7,107,17.05,107,8.79,7,4.19,DC,408,399-5019,0
125,0,140.1,209.6,264.1,8,1,0,0,132,23.82,126,17.82,77,11.88,2,2.16,WY,415,379-3659,0
89,32,209.9,249.8,224.2,8.7,1,0,1,113,35.68,104,21.23,92,10.09,7,2.35,VA,415,414-5887,0
72,29,139.8,138.2,221,5.5,0,1,1,114,23.77,91,11.75,88,9.95,6,1.49,VA,510,387-9197,0
23,0,321.6,251.6,141.1,11.3,2,0,0,107,54.67,115,21.39,158,6.35,3,3.05,CT,510,370-8732,1
149,0,166.6,218.8,208.3,8.2,7,0,0,61,28.32,107,18.6,131,9.37,6,2.21,HI,510,393-9310,0
73,0,214.2,196.8,157.9,5.9,0,0,0,90,36.41,78,16.73,112,7.11,8,1.59,WI,415,402-6984,0
61,0,260,210.5,234.7,9,1,0,0,123,44.2,127,17.89,70,10.56,3,2.43,MD,415,370-8751,1
161,0,191.9,70.9,204.8,13.4,4,0,0,113,32.62,87,6.03,107,9.22,4,3.62,WV,415,418-8316,1
73,0,213,188.8,136.2,13.5,0,0,0,95,36.21,104,16.05,89,6.13,3,3.65,VT,408,417-6158,0
118,24,118.1,109.6,245.5,16.9,1,0,1,83,20.08,72,9.32,73,11.05,2,4.56,UT,415,355-8782,0
